project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,Jan,deutschland,3.179532e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,Feb,deutschland,2.975585e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,Mar,deutschland,3.540621e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,Apr,deutschland,3.713187e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,May,deutschland,3.507151e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,June,deutschland,3.558448e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,July,deutschland,2.629824e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,Aug,deutschland,1.683409e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,Sept,deutschland,2.128271e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,Oct,deutschland,3.37171e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
CMIP5,CSIRO-Mk3-6-0,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,Nov,deutschland,3.76264e-05,monthly climatology,False,land only,CSIRO-Mk3-6-0_r1i1p1
