project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snc,ANN,deutschland,1.383492,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snc,DJF,deutschland,4.861206,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snc,MAM,deutschland,0.5174404,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snc,JJA,deutschland,0.0,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snc,SON,deutschland,0.1553232,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,ANN,deutschland,3.125743e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,DJF,deutschland,3.604152e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,MAM,deutschland,3.017976e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,JJA,deutschland,3.124803e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,SON,deutschland,2.756043e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,ANN,deutschland,283.6476,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,DJF,deutschland,277.1849,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,MAM,deutschland,282.4015,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,JJA,deutschland,291.2491,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,SON,deutschland,283.7546,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,ANN,deutschland,131.5475,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,DJF,deutschland,37.53976,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,MAM,deutschland,165.4744,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,JJA,deutschland,232.5486,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,SON,deutschland,90.62704,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,ANN,deutschland,0.1512425,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,DJF,deutschland,0.5410693,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,MAM,deutschland,0.05345147,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,JJA,deutschland,0.0,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,SON,deutschland,0.01044917,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snc,ANN,deutschland,1.22221,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snc,DJF,deutschland,4.37228,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snc,MAM,deutschland,0.2325324,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snc,JJA,deutschland,0.0,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snc,SON,deutschland,0.2840267,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,ANN,deutschland,3.003048e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,DJF,deutschland,3.271539e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,MAM,deutschland,2.98878e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,JJA,deutschland,2.949172e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,SON,deutschland,2.802699e-05,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,ANN,deutschland,283.9846,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,DJF,deutschland,277.5122,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,MAM,deutschland,283.0049,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,JJA,deutschland,291.292,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,SON,deutschland,284.1295,seasonal,False,land only,NorESM1-ME_r1i1p1
CMIP5,NorESM1-ME,rcp26,2070-01-01 to 2099-12-31,r1i1p1,rsds,ANN,deutschland,132.8409,seasonal,False,land only,NorESM1-ME_r1i1p1
