project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,ANN,NEU,2.984735e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,ANN,CEU,3.12641e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,ANN,MED,1.28751e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,DJF,NEU,2.943136e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,DJF,CEU,3.146205e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,DJF,MED,1.476037e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,MAM,NEU,2.517625e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,MAM,CEU,3.073356e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,MAM,MED,1.728683e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,JJA,NEU,3.039333e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,JJA,CEU,3.143972e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,JJA,MED,7.594056e-06,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,SON,NEU,3.438845e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,SON,CEU,3.142104e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,pr,SON,MED,1.185916e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,ANN,NEU,110.4785,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,ANN,CEU,148.0451,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,ANN,MED,221.8566,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,DJF,NEU,14.91725,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,DJF,CEU,38.30428,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,DJF,MED,119.0368,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,MAM,NEU,153.9559,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,MAM,CEU,193.4427,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,MAM,MED,259.3564,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,JJA,NEU,229.9106,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,JJA,CEU,272.522,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,JJA,MED,323.8553,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,SON,NEU,43.13022,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,SON,CEU,87.91155,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,rsds,SON,MED,185.1777,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,ANN,NEU,18.5708,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,ANN,CEU,3.243958,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,ANN,MED,0.01236296,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,DJF,NEU,44.27638,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,DJF,CEU,10.02668,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,DJF,MED,0.04882381,seasonal,False,land only,MIROC-ESM_r1i1p1
