project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,Jan,deutschland,4.258687,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,Feb,deutschland,2.593659,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,Mar,deutschland,1.077649,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,Apr,deutschland,0.0596582,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,May,deutschland,0.000262768,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,June,deutschland,0.0,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,July,deutschland,0.0,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,Aug,deutschland,0.0,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,Sept,deutschland,0.0,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
CMIP6,CMCC-CM2-SR5_gn,ssp585,2036-01-01 to 2065-12-31,r1i1p1f1,snc,Oct,deutschland,0.0008303773,monthly climatology,False,land only,CMCC-CM2-SR5_gn_r1i1p1f1
