project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,pr,ANN,deutschland,2.56414e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,pr,DJF,deutschland,2.681433e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,pr,MAM,deutschland,2.683585e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,pr,JJA,deutschland,2.426198e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,pr,SON,deutschland,2.465346e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,rsds,ANN,deutschland,152.2194,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,rsds,DJF,deutschland,51.83767,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,rsds,MAM,deutschland,193.9986,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,rsds,JJA,deutschland,255.9055,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,rsds,SON,deutschland,107.136,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snc,ANN,deutschland,4.947941,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snc,DJF,deutschland,16.93805,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snc,MAM,deutschland,2.43014,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snc,JJA,deutschland,0.0008476474,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snc,SON,deutschland,0.4227279,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snw,ANN,deutschland,1.060552,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snw,DJF,deutschland,3.464908,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snw,MAM,deutschland,0.7557933,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snw,JJA,deutschland,2.0697e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,snw,SON,deutschland,0.02148698,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,tas,ANN,deutschland,282.9807,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2036-01-01 to 2065-12-31,r1i1p1f2,tas,DJF,deutschland,274.3447,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
