project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,ANN,NEU,55.97849,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,ANN,CEU,43.05602,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,ANN,MED,17.60254,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,DJF,NEU,89.86008,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,DJF,CEU,94.17374,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,DJF,MED,48.15103,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,MAM,NEU,74.21782,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,MAM,CEU,47.11019,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,MAM,MED,15.14699,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,JJA,NEU,8.177754,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,JJA,CEU,0.2767481,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,JJA,MED,0.01974583,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,SON,NEU,51.6583,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,SON,CEU,30.6634,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snc,SON,MED,7.092396,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snw,ANN,NEU,47.92062,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snw,ANN,CEU,11.39078,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snw,ANN,MED,2.441227,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snw,DJF,NEU,78.1458,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snw,DJF,CEU,28.3692,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snw,DJF,MED,7.06458,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snw,MAM,NEU,103.082,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
