project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,height_correction,model_member,RCM,GCM,Domain
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,tas,ANN,deutschland,281.0119,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,tas,DJF,deutschland,272.9723,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,tas,MAM,deutschland,279.7567,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,tas,JJA,deutschland,290.134,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,tas,SON,deutschland,281.031,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,snw,ANN,deutschland,4.167449,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,snw,DJF,deutschland,10.7575,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,snw,MAM,deutschland,5.647981,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,snw,JJA,deutschland,0.1757145,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,snw,SON,deutschland,0.1708657,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,rsds,ANN,deutschland,139.6746,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,rsds,DJF,deutschland,49.87273,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,rsds,MAM,deutschland,179.999,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,rsds,JJA,deutschland,230.9076,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
