project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,height_correction,model_member,RCM,GCM,Domain
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,ANN,CEU,2.905733e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,ANN,MED,2.074383e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,ANN,NEU,3.209786e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,DJF,CEU,2.512809e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,DJF,MED,2.802703e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,DJF,NEU,2.788683e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,MAM,CEU,2.783811e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,MAM,MED,2.330319e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,MAM,NEU,2.548627e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,JJA,CEU,3.75531e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,JJA,MED,1.104846e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,JJA,NEU,3.968893e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,SON,CEU,2.559683e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,SON,MED,2.073569e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,pr,SON,NEU,3.528364e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,ANN,CEU,280.0334,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,ANN,MED,287.704,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,ANN,NEU,275.4416,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,DJF,CEU,270.4602,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,DJF,MED,279.5313,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,DJF,NEU,267.5013,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,MAM,CEU,279.5436,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,MAM,MED,286.25,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,MAM,NEU,273.3769,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,JJA,CEU,289.5839,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,JJA,MED,296.289,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,JJA,NEU,284.6642,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,SON,CEU,280.3657,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
