project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,01,10.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,02,29.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,03,13.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,04,9.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,05,14.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,06,19.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,07,33.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,08,23.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,01,17.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,02,36.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,03,18.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,04,13.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,05,26.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,06,25.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,07,43.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,08,35.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,01,26.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,02,44.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,03,24.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,04,18.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,05,44.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,06,33.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,07,57.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,08,50.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,01,37.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,02,56.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,03,31.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,04,25.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,05,67.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,06,42.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,07,69.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,08,67.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,01,46.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,02,62.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,03,37.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,04,30.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,05,82.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,06,48.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,07,77.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,08,76.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,01,49.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,02,60.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,03,37.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,04,31.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,05,85.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,06,48.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,07,76.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,08,79.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,01,44.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,02,54.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,03,34.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,04,28.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,05,80.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,06,42.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,07,68.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,08,73.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,01,37.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,02,46.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,03,30.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,04,24.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,05,67.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,06,38.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,07,60.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,08,63.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,01,29.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,02,40.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,03,25.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,04,20.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,05,49.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,06,33.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,07,55.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,08,52.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,01,19.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,02,35.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,03,20.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,04,15.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,05,29.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,06,28.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,07,45.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,08,39.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,01,12.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,02,29.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,03,14.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,04,10.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,05,16.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,06,20.0
