project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,01,28.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,02,43.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,03,24.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,04,19.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,05,51.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,06,33.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,07,55.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,08,50.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,01,12.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,02,30.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,03,14.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,04,9.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,05,19.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,06,20.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,07,35.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,08,26.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,01,36.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,02,54.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,03,31.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,04,24.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,05,64.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,06,41.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,07,68.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,08,65.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,01,43.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,02,53.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,03,33.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,04,28.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,05,77.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,06,43.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,07,68.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,08,72.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,01,20.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,02,35.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,03,19.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,04,15.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,05,32.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,06,27.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,07,45.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,08,39.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,01,107.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,02,184.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,03,138.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,04,120.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,05,104.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,06,148.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,07,166.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,08,134.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,DJF,01,30.0
