project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,CEU,130.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,MED,175.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,ANN,NEU,104.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,DJF,CEU,44.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,DJF,MED,89.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,DJF,NEU,20.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,MAM,CEU,168.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,MAM,MED,205.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,MAM,NEU,142.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,JJA,CEU,221.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,JJA,MED,268.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,JJA,NEU,184.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,SON,CEU,87.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,SON,MED,140.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,SON,NEU,51.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,CEU,42.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,MED,60.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,ANN,NEU,47.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,CEU,21.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,MED,41.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,DJF,NEU,17.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,CEU,54.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,MED,73.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,MAM,NEU,59.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,CEU,61.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,MED,73.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,JJA,NEU,71.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,CEU,32.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,MED,47.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,SON,NEU,30.0
