project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,NEU,13.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,MED,39.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Jan,CEU,19.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,NEU,24.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,MED,49.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Feb,CEU,28.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,NEU,40.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,MED,62.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Mar,CEU,41.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,NEU,61.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,MED,75.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Apr,CEU,56.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,NEU,76.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,MED,81.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,May,CEU,65.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,NEU,78.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,MED,81.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,June,CEU,67.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,NEU,74.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,MED,71.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,July,CEU,62.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,NEU,62.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,MED,63.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Aug,CEU,54.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,NEU,45.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,MED,56.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Sept,CEU,43.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,NEU,27.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,MED,47.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Oct,CEU,32.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,NEU,15.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,MED,37.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Nov,CEU,21.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Dec,NEU,10.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Dec,MED,33.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,qq,Dec,CEU,16.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Jan,NEU,13.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Jan,MED,81.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Jan,CEU,37.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Feb,NEU,35.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Feb,MED,117.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Feb,CEU,69.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Mar,NEU,83.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Mar,MED,166.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Mar,CEU,117.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Apr,NEU,147.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Apr,MED,206.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Apr,CEU,171.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,May,NEU,195.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,May,MED,246.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,May,CEU,218.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,June,NEU,209.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,June,MED,276.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,June,CEU,236.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,July,NEU,196.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,July,MED,279.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,July,CEU,232.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Aug,NEU,149.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Aug,MED,248.0
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,qq,Aug,CEU,198.0
