project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Jan,deutschland,2.336754e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Feb,deutschland,2.109224e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Mar,deutschland,2.300044e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Apr,deutschland,1.871854e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,May,deutschland,2.576336e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,June,deutschland,2.889571e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,July,deutschland,3.033931e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Aug,deutschland,2.781146e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Sept,deutschland,2.522472e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Oct,deutschland,2.280633e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Nov,deutschland,2.466377e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Dec,deutschland,2.603071e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Jan,deutschland,273.4829
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Feb,deutschland,274.0648
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Mar,deutschland,277.4475
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Apr,deutschland,281.4517
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,May,deutschland,286.1064
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,June,deutschland,288.884
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,July,deutschland,291.1078
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Aug,deutschland,290.5949
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Sept,deutschland,286.6677
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Oct,deutschland,282.3245
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Nov,deutschland,277.5209
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Dec,deutschland,274.3535
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,deutschland,1.652699e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,deutschland,1.522747e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,deutschland,1.661079e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,deutschland,1.445432e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,deutschland,2.0208e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,deutschland,2.389745e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,deutschland,2.608558e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,deutschland,2.299712e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,deutschland,1.833178e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,deutschland,1.550651e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,deutschland,1.687973e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,deutschland,1.778081e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,deutschland,274.8392
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,deutschland,274.744
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,deutschland,274.5893
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,deutschland,274.5857
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,deutschland,274.5727
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,deutschland,274.5217
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,July,deutschland,274.5378
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Aug,deutschland,274.55
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Sept,deutschland,274.5555
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Oct,deutschland,274.5827
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Nov,deutschland,274.6405
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Dec,deutschland,274.8078
