project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,01,3.842622e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,02,2.125289e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,03,2.807876e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,04,1.926745e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,05,2.231024e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,06,2.133748e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,07,2.138329e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Jan,08,1.706505e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,01,3.098689e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,02,1.913712e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,03,2.507739e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,04,1.760215e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,05,1.887973e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,06,2.002602e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,07,2.063739e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Feb,08,1.652594e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,01,3.268239e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,02,1.658499e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,03,2.480742e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,04,1.921243e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,05,1.808626e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,06,2.401358e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,07,1.988617e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Mar,08,1.747661e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,01,2.964597e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,02,2.556698e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,03,2.992678e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,04,1.695931e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,05,1.630542e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,06,3.124187e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,07,2.333767e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Apr,08,2.060043e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,01,3.242655e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,02,2.770312e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,03,3.787042e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,04,2.418179e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,05,2.128361e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,06,4.057436e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,07,2.093688e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,May,08,2.953927e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,01,3.763627e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,02,1.659398e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,03,3.343169e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,04,2.8398e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,05,3.124928e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,06,4.449401e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,07,1.774143e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,June,08,3.89392e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,01,4.152478e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,02,8.274282e-06
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,03,3.184958e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,04,3.047889e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,05,3.602952e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,06,4.139093e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,07,1.20543e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,July,08,3.800833e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,01,4.347502e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,02,1.022285e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,03,3.156624e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,04,2.754814e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,05,3.646415e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,06,4.184485e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,07,1.293616e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Aug,08,3.175353e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,01,3.858161e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,02,1.701274e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,03,3.078819e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,04,2.188914e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,05,2.912088e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,06,3.38937e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,07,1.981245e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Sept,08,2.598706e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,01,4.18126e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,02,2.634412e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,03,3.287857e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,04,1.891671e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,05,2.645105e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,06,3.051785e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,07,2.263757e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Oct,08,1.932531e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,01,3.958941e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,02,2.620829e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,03,3.088847e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,04,1.997385e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,05,2.456475e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,06,2.858042e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,07,2.727753e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Nov,08,2.028376e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,01,3.693047e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,02,2.581993e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,03,3.057999e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,04,2.08248e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,05,2.282268e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,06,2.582237e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,07,2.783289e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,Dec,08,2.020947e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,01,275.6087
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,02,276.0501
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,03,275.7625
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,04,275.117
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,05,275.4308
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,06,275.3741
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,07,276.0511
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Jan,08,276.1645
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,01,275.4274
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,02,275.8413
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,03,275.5894
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,04,274.9988
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,05,275.2856
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,06,275.2363
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,07,275.843
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Feb,08,275.9433
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,01,275.1516
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,02,275.5072
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,03,275.3026
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,04,274.8047
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,05,275.0467
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,06,275.0042
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,07,275.4933
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Mar,08,275.5854
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,01,275.1397
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,02,275.4948
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,03,275.2972
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,04,274.8003
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,05,275.0419
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,06,274.9993
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,07,275.4743
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,Apr,08,275.5679
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,01,275.1231
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,02,275.4848
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,03,275.2834
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,04,274.7868
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,05,275.0303
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,06,274.9875
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,07,275.4675
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,May,08,275.5611
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,01,275.0443
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,02,275.3843
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,03,275.1942
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,04,274.7244
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,05,274.9569
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,06,274.9149
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,07,275.3645
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,June,08,275.4561
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,July,01,275.0506
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,July,02,275.3758
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,July,03,275.2027
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,July,04,274.7383
