project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,01,3.358934e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,02,1.810136e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,03,2.458379e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,04,2.378237e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,05,2.406283e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,06,3.433893e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,07,1.978341e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,08,1.90236e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,01,3.850276e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,02,2.274051e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,03,2.535794e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,04,2.278579e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,05,2.227469e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,06,2.753257e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,07,2.491043e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,08,1.397799e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,MAM,01,2.783341e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,MAM,02,1.922468e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,MAM,03,2.430874e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,MAM,04,2.142905e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,MAM,05,1.707953e-05
