project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Jan,CEU,1.71008e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Jan,NEU,2.477346e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Jan,MED,1.857704e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Feb,CEU,1.619181e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Feb,NEU,2.045006e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Feb,MED,1.761267e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Mar,CEU,1.632403e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Mar,NEU,1.920398e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Mar,MED,1.52424e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Apr,CEU,1.733938e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Apr,NEU,1.604266e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Apr,MED,1.591871e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,May,CEU,2.271578e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,May,NEU,1.884101e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,May,MED,1.304687e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,June,CEU,2.819614e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,June,NEU,2.529667e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,June,MED,8.597534e-06
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,July,CEU,2.713593e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,July,NEU,2.887294e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,July,MED,5.026954e-06
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Aug,CEU,2.431331e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Aug,NEU,3.007903e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Aug,MED,5.3598e-06
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Sept,CEU,2.33257e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Sept,NEU,2.815469e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Sept,MED,1.014208e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Oct,CEU,2.078344e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Oct,NEU,2.997116e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Oct,MED,1.611845e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Nov,CEU,2.075253e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Nov,NEU,2.738033e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Nov,MED,2.116364e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Dec,CEU,1.978359e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Dec,NEU,2.503882e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,Dec,MED,2.200267e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Jan,CEU,270.7587
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Jan,NEU,267.3128
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Jan,MED,279.2463
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Feb,CEU,271.2661
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Feb,NEU,267.4474
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Feb,MED,280.325
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Mar,CEU,275.4974
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Mar,NEU,270.8943
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Mar,MED,283.3441
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Apr,CEU,281.2656
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Apr,NEU,275.5285
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,Apr,MED,286.7812
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,May,CEU,286.7562
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,May,NEU,280.8333
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,May,MED,290.9456
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,June,CEU,289.9762
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,June,NEU,285.1935
