project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,CEU,2.118768e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,NEU,2.454395e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,ANN,MED,1.415419e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,CEU,1.773806e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,NEU,2.351189e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,DJF,MED,1.945325e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,MAM,CEU,1.880887e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,MAM,NEU,1.80508e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,MAM,MED,1.470918e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,JJA,CEU,2.653055e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,JJA,NEU,2.811313e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,JJA,MED,6.317338e-06
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,SON,CEU,2.161136e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,SON,NEU,2.851819e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,rr,SON,MED,1.582437e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,ANN,CEU,281.2985
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,ANN,NEU,276.8961
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,ANN,MED,288.3567
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,DJF,CEU,271.3049
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,DJF,NEU,267.8197
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,DJF,MED,280.03
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,MAM,CEU,281.172
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,MAM,NEU,275.7545
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,MAM,MED,287.0305
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,JJA,CEU,291.1772
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,JJA,NEU,286.5685
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,JJA,MED,297.0178
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,SON,CEU,281.3485
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,SON,NEU,277.2722
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,mean,tg,SON,MED,289.561
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,ANN,CEU,2.57909e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,ANN,NEU,2.759506e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,ANN,MED,1.536551e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,DJF,CEU,2.06622e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,DJF,NEU,2.379456e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,DJF,MED,1.902007e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,MAM,CEU,2.283897e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,MAM,NEU,2.090439e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,MAM,MED,1.721341e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,JJA,CEU,3.531399e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,JJA,NEU,3.610592e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,JJA,MED,9.103412e-06
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,SON,CEU,2.423285e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,SON,NEU,2.951973e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,rr,SON,MED,1.587452e-05
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,ANN,CEU,275.5515
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,ANN,NEU,275.2407
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,ANN,MED,276.0066
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,DJF,CEU,275.9379
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,DJF,NEU,275.5476
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,DJF,MED,276.5417
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,MAM,CEU,275.462
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,MAM,NEU,275.1642
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,MAM,MED,275.8806
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,JJA,CEU,275.3423
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,JJA,NEU,275.0779
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,JJA,MED,275.6928
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,SON,CEU,275.47
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,SON,NEU,275.1781
E-OBS,v20.0e,Observation,1981-01-01 to 2010-12-31,spread,tg,SON,MED,275.8676
