project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,01,277.6361
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,02,279.2736
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,03,277.2762
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,04,273.9103
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,05,266.5192
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,06,271.4189
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,07,277.4742
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,08,270.917
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,01,277.5795
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,02,280.4893
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,03,277.8259
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,04,274.5245
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,05,266.6333
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,06,272.7065
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,07,278.18
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,08,271.9615
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,01,279.1675
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,02,283.2288
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,03,280.6797
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,04,277.908
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,05,270.311
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,06,276.5557
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,07,281.1648
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,08,276.2723
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,01,280.9361
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,02,284.8727
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,03,283.0999
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,04,281.7504
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,05,275.5565
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,06,280.1049
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,07,284.7216
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,08,282.2384
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,01,283.8339
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,02,288.4162
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,03,286.9547
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,04,286.25
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,05,281.2412
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,06,284.9395
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,07,289.3897
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,08,287.7346
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,June,01,286.4729
