project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,01,282.4667
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,02,286.9814
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,03,284.429
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,04,282.3398
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,05,276.6162
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,06,281.0743
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,07,286.4154
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,08,281.8899
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,01,277.7057
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,02,279.9699
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,03,277.6612
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,04,274.4009
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,05,266.9676
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,06,272.1629
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,07,278.1082
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,08,271.6719
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,01,281.3125
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,02,285.5059
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,03,283.5781
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,04,281.9695
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,05,275.7029
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,06,280.5334
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,07,285.0921
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,08,282.0818
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,01,287.7127
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,02,294.7764
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,03,291.5854
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,04,290.3958
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,05,286.9783
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,06,289.963
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,07,295.1133
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,08,291.8195
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,01,283.1358
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,02,287.6734
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,03,284.8915
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,04,282.593
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,05,276.816
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,06,281.6378
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,07,287.3481
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,08,281.9865
