project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,NEU,267.3821
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,CEU,270.7294
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Jan,MED,279.3739
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,NEU,267.575
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,CEU,271.3152
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Feb,MED,280.7084
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,NEU,271.1439
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,CEU,275.6111
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Mar,MED,283.9875
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,NEU,275.8023
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,CEU,281.3921
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Apr,MED,287.6088
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,NEU,281.1057
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,CEU,286.8586
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,May,MED,291.9263
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,June,NEU,285.5681
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,June,CEU,290.0733
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,June,MED,296.2582
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,July,NEU,288.2666
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,July,CEU,292.2603
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,July,MED,298.982
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Aug,NEU,286.716
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Aug,CEU,291.4279
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Aug,MED,298.8204
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Sept,NEU,282.4373
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Sept,CEU,286.722
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Sept,MED,295.1846
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Oct,NEU,277.5396
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Oct,CEU,281.6127
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Oct,MED,290.3471
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Nov,NEU,272.1769
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Nov,CEU,275.7951
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Nov,MED,284.5592
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Dec,NEU,268.6844
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Dec,CEU,271.8631
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,Dec,MED,280.6638
