project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,NEU,277.0331
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,CEU,281.3051
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,ANN,MED,289.035
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,NEU,267.8805
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,CEU,271.3026
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,DJF,MED,280.2487
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,NEU,276.0173
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,CEU,281.2873
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,MAM,MED,287.8409
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,NEU,286.8502
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,CEU,291.2538
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,JJA,MED,298.0202
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,NEU,277.3846
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,CEU,281.3766
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,2t,SON,MED,290.0303
