project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,01,0.0005120299
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,02,0.0008885427
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,03,0.000255934
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,04,0.001844011
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,05,0.03740637
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,06,0.03168665
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,07,0.002459409
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,08,0.004015522
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,01,0.001572076
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,02,0.00218636
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,03,0.0008448467
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,04,0.005626909
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,05,0.06601094
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,06,0.06211053
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,07,0.006800136
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,08,0.01177008
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,01,0.0003709582
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,02,0.001234742
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,03,0.0001182084
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,04,0.001436165
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,05,0.07655185
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,06,0.05836979
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,07,0.002582162
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,08,0.003517205
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,01,3.772508e-07
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,02,1.995104e-06
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,03,1.022348e-07
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,04,4.804093e-08
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,05,0.0004003138
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,06,0.000880513
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,07,1.798027e-06
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,08,1.065068e-07
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,01,0.0001047077
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,02,0.0001310742
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,03,6.05786e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,04,0.0003129211
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,05,0.006662359
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,06,0.005385766
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,07,0.0004535401
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,08,0.0007746993
