project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,MED,0.001922172
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,CEU,0.008417083
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,ANN,NEU,0.03391504
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,MED,0.005050646
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,CEU,0.02046191
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,DJF,NEU,0.05979814
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,MED,0.002355011
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,CEU,0.01173343
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,MAM,NEU,0.069467
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,MED,3.465784e-06
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,CEU,7.657798e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,JJA,NEU,0.0003064139
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,MED,0.0002795646
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,CEU,0.001396419
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,snd,SON,NEU,0.006088579
