project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,ANN,01,113.153
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,ANN,02,189.5628
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,ANN,03,143.707
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,ANN,04,124.9439
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,ANN,05,102.0179
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,ANN,06,153.0332
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,ANN,07,181.3098
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,ANN,08,133.9139
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,DJF,01,62.00899
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,DJF,02,133.9683
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,DJF,03,89.78917
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,DJF,04,72.49078
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,DJF,05,44.39432
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,DJF,06,107.0534
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,DJF,07,126.604
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,DJF,08,82.21215
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,MAM,01,191.773
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,MAM,02,261.8571
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,MAM,03,218.441
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,MAM,04,203.1582
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,MAM,05,196.0352
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,MAM,06,224.3131
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,MAM,07,254.9723
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,MAM,08,211.2332
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,JJA,01,158.0065
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,JJA,02,258.3921
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,JJA,03,201.5939
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,JJA,04,175.3683
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,JJA,05,147.3755
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,JJA,06,205.5959
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,JJA,07,245.0644
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,JJA,08,185.9375
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,SON,01,40.82354
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,SON,02,104.0339
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,SON,03,65.00386
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,SON,04,48.75833
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,SON,05,20.26676
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,SON,06,75.17027
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,SON,07,98.59867
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,ssrd,SON,08,56.27285
