project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,01,3.684159e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,02,2.4746605e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,03,2.8985822e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,04,2.5713724e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,05,2.6206844e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,06,3.1565552e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,07,2.8169274e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,08,1.754632e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,01,3.0994473e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,02,2.3634495e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,03,2.6165386e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,04,2.3623345e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,05,2.2407085e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,06,3.153488e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,07,2.9721346e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,08,1.7975246e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,01,3.1958978e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,02,2.01894e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,03,2.5282687e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,04,2.675351e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,05,2.142937e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,06,3.6849415e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,07,2.9147215e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,08,1.992688e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,01,2.9102175e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,02,2.891791e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,03,3.0749885e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,04,2.3755892e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,05,1.9948768e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,06,4.5571418e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,07,3.1454507e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,08,2.3624887e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,01,2.9325165e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,02,2.6448175e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,03,3.2246448e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,04,2.9274237e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,05,2.431394e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,06,5.1032508e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,07,2.4873221e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,08,2.9357012e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,June,01,3.0331648e-05
