project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,01,3.2927786e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,02,2.2632918e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,03,2.8291352e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,04,2.7281634e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,05,2.7833055e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,06,4.330365e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,07,2.637285e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,08,2.450889e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,01,3.4520373e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,02,2.6338766e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,03,2.8846316e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,04,2.5731923e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,05,2.4715473e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,06,3.379864e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,07,3.1340405e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,08,1.8624494e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,01,3.0128773e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,02,2.5185162e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,03,2.942634e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,04,2.6594547e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,05,2.1897358e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,06,4.4484448e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,07,2.8491648e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,08,2.4302926e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,01,3.1074112e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,02,1.2702413e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,03,2.4660361e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,04,3.090732e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,05,3.488963e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,06,4.9193004e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,07,1.5655149e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,08,3.316809e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,01,3.598789e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,02,2.6305332e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,03,3.0232388e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,04,2.5892747e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,05,2.9829764e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,06,4.5738507e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,07,3.0004203e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,08,2.1940052e-05
