project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,NEU,2.6212383e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,CEU,2.1133312e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Jan,MED,1.8183664e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,NEU,2.23896e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,CEU,2.0339214e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Feb,MED,1.8437539e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,NEU,2.2058195e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,CEU,2.1535998e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Mar,MED,1.7172555e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,NEU,2.0572093e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,CEU,2.3994833e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Apr,MED,1.893933e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,NEU,2.4629746e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,CEU,2.917753e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,May,MED,1.6035498e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,June,NEU,3.138425e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,June,CEU,3.455688e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,June,MED,1.0909629e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,July,NEU,3.4430836e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,July,CEU,3.302883e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,July,MED,7.017405e-06
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Aug,NEU,3.4192864e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Aug,CEU,2.9583915e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Aug,MED,7.3790393e-06
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Sept,NEU,3.0689203e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Sept,CEU,2.7509928e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Sept,MED,1.1882486e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Oct,NEU,3.1025156e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Oct,CEU,2.3787596e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Oct,MED,1.711589e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Nov,NEU,2.7951048e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Nov,CEU,2.4062172e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Nov,MED,2.0320007e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Dec,NEU,2.594043e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Dec,CEU,2.3449304e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,Dec,MED,2.0552947e-05
