project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,NEU,2.7622984e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,MED,1.5328833e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,ANN,CEU,2.6013293e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,NEU,2.4847472e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,MED,1.905805e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,DJF,CEU,2.164061e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,NEU,2.2420012e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,MED,1.7382461e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,MAM,CEU,2.4902787e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,NEU,3.3335982e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,MED,8.435358e-06
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,JJA,CEU,3.2389875e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,NEU,2.988847e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,MED,1.643946e-05
ERA5,IFS,Reanalysis,1981-01-01 to 2010-12-31,One,tp,SON,CEU,2.5119898e-05
